None,
sample name,
date,
coordinates,
d10,
d16,
d25,
d30,
d50,
d60,
d75,
d84,
d90,
Mean Grain Size dm: [mm],
Geometrical mean dg,
Sorting Index 1 ds,
Fredle - Index,
Grain Size std,
Geometric Standard Deviation,
Skewness,
Kurtosis,
Coefficient of uniformity - Cu,
Curvature coefficient - Cc,
Carling and Reader (1982) [Porosity],
Wu and Wang (2006) [Porosity],
Wooster et al. (2008) [Porosity],
Frings et al. (2011)  [Porosity],
User input [Porosity],
Carling and Reader (1982) [Estimated kf],
Wu and Wang (2006) [Estimated kf],
Wooster et al. (2008) [Estimated kf],
Frings et al. (2011)  [Estimated kf],
User input [Estimated kf],
250,
125,
63,
31.5,
16,
8,
4,
2,
1,
0.5,
0.25,
0.125,
0.063,
0.031,
0.0039,
6e-05
0,
KB07 FC 1 1 Dez2019,
Dez2019,
(None, None),
1.629787234042553,
5.78013986013986,
14.21035058430718,
20.54548571428572,
48.94046920821114,
63.39821939586646,
86.49888712241653,
100.3592877583466,
109.5995548489666,
52.66965090846366,
24.08507254519416,
4.166866741631297,
5.780139860139861,
40.45052187019632,
2.617600868039237,
0.4649782461865022,
-0.05908404922914512,
38.89969075203294,
4.085308461502785,
0.1727731174221909,
0.2227652374813125,
0.1877455305884664,
0.1877678619154721,
0.1778,
3.965467510568514e-05,
9.628374931633908e-05,
5.277640066770409e-05,
5.279813844028062e-05,
4.374772679236228e-05,
100,
100,
59.74142345110087,
37.91602662570404,
26.71530977982591,
19.04761904761905,
13.55606758832565,
10.44546850998464,
9.242191500256016,
8.742959549411163,
5.824372759856631,
1.369687660010241,
0.4608294930875576,
0,
0,
0
1,
KB08 FC 2 1 Mar2020,
Mar20,
(None, None),
1.223595505617977,
4.969372384937238,
10.94356005788712,
14.90824891461649,
35.3920323325635,
52.00046189376441,
78.56102362204722,
95.27905511811022,
106.4244094488189,
46.1370148880219,
21.75952907042912,
4.378727812064327,
4.969372384937238,
38.74063565937654,
2.534821054173098,
0.5013913843934186,
-1.086608600914801,
42.49808180482125,
3.493077298283495,
0.1872878016828325,
0.2292987966738326,
0.1949840694652205,
0.1941258170240699,
0.1778,
7.425410731628636e-05,
0.0001515300667107854,
8.539923942152696e-05,
8.409708948694457e-05,
6.207345040922031e-05,
100,
100,
66.622864651774,
47.65659220324136,
31.37684333479341,
21.28777923784494,
14.30865819827712,
11.00890640969485,
9.70944663454519,
9.24222514235655,
3.781573952401811,
0.8030369396992262,
0.2190100744634253,
0,
0,
0
